営業者氏名,郵便番号,営業所所在地,営業所所在地ビル名,営業所電話番号,屋号,業種,業態,指令番号県記号,指令番号発令記号,指令番号（許可番号）,許可終了日,許可・交付日,初年度許可・交付日
佐藤株式会社,814-0012,福岡市早良区昭代二丁目１０番２０号,,092-852-0007,サトー食鮮館,魚介類販売業,一般,福,早保衛,32140015,2026/12/31,2020/11/17,2002/11/22
株式会社スリーアイランズ,814-0022,福岡市早良区原四丁目２５番１２号,,092-823-1717,風靡,飲食店営業,一般食堂,福,早保衛,32020116,2026/12/31,2020/11/17,1996/11/13
株式会社マルキョウ,814-0032,福岡市早良区小田部七丁目１４番１号,,092-845-1168,（株）マルキョウ　小田部店,飲食店営業,弁当屋,福,早保衛,32020121,2026/12/31,2020/11/17,2002/11/6
株式会社マルキョウ,814-0032,福岡市早良区小田部七丁目１４番１号,,092-845-1168,（株）マルキョウ　小田部店,食肉販売業,一般,福,早保衛,32340016,2026/12/31,2020/11/17,2002/11/6
株式会社マルキョウ,814-0033,福岡市早良区有田七丁目１５番２０号,,092-851-6008,株式会社　マルキョウ室住店,魚介類販売業,一般,福,早保衛,32140016,2026/12/31,2020/11/17,2002/12/19
株式会社マルキョウ,814-0033,福岡市早良区有田七丁目１５番２０号,,092-851-6008,株式会社　マルキョウ室住店,飲食店営業,弁当屋,福,早保衛,32020120,2026/12/31,2020/11/17,2002/12/24
株式会社菜根譚るきあ,814-0175,福岡市早良区田村三丁目９番２２号,,092-864-7700,株式会社　菜根譚,飲食店営業,弁当屋,福,早保衛,32020118,2026/12/31,2020/11/17,1992/10/20
株式会社トレーダー愛,819-0001,福岡市西区小戸二丁目１０番６１号,,092-883-8585,ノートルダム　マリノア　メイン厨房,飲食店営業,レストラン,福,西保衛,32020079,2026/12/31,2020/11/17,2008/11/6
株式会社トレーダー愛,819-0001,福岡市西区小戸二丁目１０番６１号,,092-883-8585,ノートルダム　マリノア　ペストリー,菓子製造業,一般,福,西保衛,32060012,2026/12/31,2020/11/17,2008/11/6
株式会社　唐人ベ－カリ－,819-0375,福岡市西区徳永３２５番地１,,092-807-0222,唐人ベ－カリ－,飲食店営業,仕出し,福,西保衛,32020078,2026/12/31,2020/11/17,1986/12/3
株式会社日本セレモニー,819-0001,福岡市西区小戸二丁目１０番６１号,,092-883-0585,ザ・ブルー,飲食店営業,レストラン,福,西保衛,32020080,2026/12/31,2020/11/17,2008/11/6
株式会社Ｗ．Ｓ．Ｂ,819-0006,福岡市西区姪浜駅南一丁目６番１３号,藤井第一ビル１Ｆ,092-407-7855,パティスリー　プティジュール,菓子製造業,一般,福,西保衛,32050012,2026/12/31,2020/11/17,2020/11/17
アトム株式会社,813-0062,福岡市東区松島六丁目１２番３号,,092-627-1955,ステーキとワインの店　ANZU,飲食店営業,一般食堂,福,東保衛,32020114,2026/12/31,2020/11/18,2014/10/28
アトム株式会社,813-0062,福岡市東区松島六丁目１２番３号,,092-260-8339,あんずの直売所,飲食店営業,そうざい,福,東保衛,32020115,2026/12/31,2020/11/18,2014/10/28
アトム株式会社,813-0062,福岡市東区松島六丁目１２番３号,,092-260-8339,あんずの直売所,食肉販売業,一般,福,東保衛,32340032,2026/12/31,2020/11/18,2014/10/28
株式会社　昭和イーティング,812-0862,福岡市博多区立花寺１７９－６４,,092-936-8813,さわやか立花弐番館,飲食店営業,一般食堂,福,博保衛,32020361,2026/12/31,2020/11/18,2014/11/27
,810-0801,福岡市博多区中洲三丁目３番１０号,第２多門ビル　１階　Ａ,092-291-0269,博多肉色,飲食店営業,一般食堂,福,博保衛,32010451,2026/12/31,2020/11/18,2020/11/18
,810-0801,福岡市博多区中洲三丁目３番１０号,第２多門ビル　１階　A,092-291-0269,博多肉色,食肉販売業,一般,福,博保衛,32330098,2026/12/31,2020/11/18,2020/11/18
,812-0044,福岡市博多区千代三丁目６番５号,市営大学通住宅　１１２号,,黒龍ラーメン,飲食店営業,一般食堂,福,博保衛,32010465,2026/12/31,2020/11/18,2020/11/18
,812-0043,福岡市博多区堅粕一丁目２６番１５号,,092-633-5607,セブンイレブン福岡高校前店,飲食店営業,一般食堂,福,博保衛,32020363,2026/12/31,2020/11/18,2014/12/22
有限会社　ポルターダ,810-0801,福岡市博多区中洲四丁目１番１３号,第１きよたけビル　１階,092-272-2030,ＹＯＬＯ,飲食店営業,バー,福,博保衛,32010448,2026/12/31,2020/11/18,2020/11/18
株式会社　すき家,812-0016,福岡市博多区博多駅南五丁目２２番１６号,,092-483-1667,すき家　福岡博多駅南店,飲食店営業,一般食堂,福,博保衛,32020365,2026/12/31,2020/11/18,2008/12/9
,812-0877,福岡市博多区元町二丁目７番４号,,092-589-0633,ファミリーマート南福岡元町２丁目店,飲食店営業,一般食堂,福,博保衛,32020362,2026/12/31,2020/11/18,2008/10/31
特定非営利活動法人ＭＵＳＩＣ　ＨＥＡＲＴ,810-0054,福岡市中央区今川一丁目１０番５２号１Ｆ,,,ＢＡＲ仲希,飲食店営業,バー,福,中保衛,32020274,2026/12/31,2020/11/18,2014/12/19
,810-0004,福岡市中央区渡辺通二丁目８番２５号,,092-771-0252,カルビ亭,飲食店営業,一般食堂,福,中保衛,32020275,2026/12/31,2020/11/18,1978/12/13
,810-0063,福岡市中央区唐人町一丁目２番１４号,深堀ビル１Ｆ,092-406-6760,ＣＯ心,飲食店営業,一般食堂,福,中保衛,32020276,2026/12/31,2020/11/18,2014/12/18
西日本パブリック株式会社,810-0001,福岡市中央区天神一丁目１番地,天神中央公園内,092-739-9390,福岡天神中央公園店,飲食店営業,一般食堂,福,中保衛,32020278,2026/12/31,2020/11/18,2008/11/7
,810-0003,福岡市中央区春吉二丁目２番２６号,アイスペース春吉１Ｆ,092-714-3552,クリムゾン,飲食店営業,バー,福,中保衛,32020280,2026/12/31,2020/11/18,2002/12/17
,810-0022,福岡市中央区薬院四丁目１８番９号,,092-524-9229,鮨銀杏,飲食店営業,すし屋,福,中保衛,32020279,2026/12/31,2020/11/18,2002/10/11
,810-0022,福岡市中央区薬院四丁目８番３号,ＡＲＴＫＳ　１Ｆ,092-534-1888,鮨　おかだ,飲食店営業,すし屋,福,中保衛,32010603,2026/12/31,2020/11/18,2020/11/18
,810-0004,福岡市中央区渡辺通四丁目１番２０号,ラシーヌ渡辺通１Ｆ,,Ｃａｆｆｅ　ｔｉｇｒｅ,飲食店営業,一般食堂,福,中保衛,32010575,2026/12/31,2020/11/18,2020/11/18
スターバックスコーヒージャパン株式会社,810-0001,福岡市中央区天神二丁目９番１８号,福岡パルコ新館４階,092-235-7473,スターバックスコーヒー　福岡パルコ新館店,飲食店営業,一般食堂,福,中保衛,32020273,2026/12/31,2020/11/18,2014/10/22
,810-0023,福岡市中央区警固二丁目１５番１０号,102,,博多　源平,飲食店営業,一般食堂,福,中保衛,32020277,2026/12/31,2020/11/18,2008/12/12
,815-0083,福岡市南区高宮五丁目１番１号,ピア高宮１Ｆ,092-531-3652,高宮鮮魚店,魚介類販売業,一般,福,南保衛,32140018,2026/12/31,2020/11/18,2002/12/19
,815-0075,福岡市南区長丘一丁目９番１号,長丘不動産ビル１階,092-561-6426,風味鶏,飲食店営業,一般食堂,福,南保衛,32010109,2026/12/31,2020/11/18,2020/11/18
エイ・ケイ・フランチャイズシステム株式会社,815-0071,福岡市南区平和二丁目５番１号,,092-534-0908,ファミリーマート福岡平和,飲食店営業,一般食堂,福,南保衛,32010106,2026/12/31,2020/11/18,2020/11/18
,815-0083,福岡市南区高宮五丁目１番１－１０５号,,092-524-1284,酒井,魚介類販売業,一般,福,南保衛,32140019,2026/12/31,2020/11/18,1988/10/21
,814-0101,福岡市城南区荒江一丁目２３番２７号,レジデンス荒江Ｃ,,ラーメン屋　游,飲食店営業,一般食堂,福,城保衛,32020041,2026/12/31,2020/11/18,2014/11/4
,814-0033,福岡市早良区有田一丁目１０番５号,,092-823-2522,ブーランジェリー麦畑,菓子製造業,パン,福,早保衛,32060007,2026/12/31,2020/11/18,2014/12/5
,814-0033,福岡市早良区有田一丁目１０番５号,,092-823-2522,ブーランジェリー麦畑,飲食店営業,弁当屋,福,早保衛,32020123,2026/12/31,2020/11/18,2014/12/5
,814-0175,福岡市早良区田村六丁目６番２１号,,092-861-1960,たろく,飲食店営業,一般食堂,福,早保衛,32020125,2026/12/31,2020/11/18,1992/11/20
,814-0002,福岡市早良区西新四丁目６番５号,,092-844-3353,ルイス,飲食店営業,一般食堂,福,早保衛,32020127,2026/12/31,2020/11/18,1979/11/22
,814-0015,福岡市早良区室見五丁目１番３１号,,092-822-9060,ねこまんま,飲食店営業,一般食堂,福,早保衛,32020124,2026/12/31,2020/11/18,2014/10/31
,814-0175,福岡市早良区田村七丁目２０番８号,,,ごはんと珈琲　サンゼン,飲食店営業,中華店,福,早保衛,32020126,2026/12/31,2020/11/18,2008/11/21
株式会社マルキョウ,819-0013,福岡市西区愛宕浜二丁目３番６号,,092-884-3977,株式会社マルキョウ　愛宕店,食肉販売業,一般,福,西保衛,32340008,2026/12/31,2020/11/18,1996/10/30
株式会社マルキョウ,819-0013,福岡市西区愛宕浜二丁目３番６号,,092-884-3977,株式会社マルキョウ　愛宕店,魚介類販売業,一般,福,西保衛,32140014,2026/12/31,2020/11/18,1996/10/30
,819-0374,福岡市西区千里２３３番地１,,092-805-5840,無添さぬきめん　あじ豊,飲食店営業,一般食堂,福,西保衛,32020081,2026/12/31,2020/11/18,2014/12/24
三菱電機ライフサービス株式会社,819-0161,福岡市西区今宿東一丁目１番１号,,092-805-3941,三菱電機（株）パワーデバイス製作所,飲食店営業,一般食堂,福,西保衛,32020083,2026/12/31,2020/11/18,1996/10/14
,813-0035,福岡市東区松崎四丁目３８番１７号,,,ｔｗｉｎ ａＲ ｃａｆｅ ☆☆,飲食店営業,一般食堂,福,東保衛,32020116,2026/12/31,2020/11/19,2014/11/6
,812-0061,福岡市東区筥松二丁目１８番２０号,,092-629-5171,晩酌亭　箱崎店,飲食店営業,そうざい,福,東保衛,32020117,2026/12/31,2020/11/19,2014/10/31
株式会社ＣＡＮＶＡＳ,813-0017,福岡市東区香椎照葉六丁目６番２号,アイランド・アイＡ棟,092-710-9262,板前バル・じげもんちゃんぽん,魚介類販売業,一般,福,東保衛,32130015,2026/12/31,2020/11/19,2020/11/19
,812-0884,福岡市博多区寿町二丁目２番４号,,,Ｌｉｏｎ～リオン,飲食店営業,バー,福,博保衛,32010466,2026/12/31,2020/11/19,2020/11/19
,812-0007,福岡市博多区東比恵二丁目１７番２３号,ローズマンション第１博多１号館　１０２,092-292-7555,博多一成一代,飲食店営業,一般食堂,福,博保衛,32020366,2026/12/31,2020/11/19,2014/12/12
,812-0007,福岡市博多区東比恵二丁目１７番２３号,ローズマンション第１博多　１０３号,092-474-6944,カフェテリア　ラ・フォーレ,飲食店営業,一般食堂,福,博保衛,32020367,2026/12/31,2020/11/19,1986/10/8
,810-0004,福岡市中央区渡辺通二丁目８番２９号,,092-731-4728,珈琲　ふじた,飲食店営業,一般食堂,福,中保衛,32020282,2026/12/31,2020/11/19,1981/12/8
株式会社ＪＰパワー,810-0002,福岡市中央区西中洲３番２０号,ＬＡＮＥ　ＲＯＵＮＤ　ＢＬＤＧ　４階,092-401-0558,Ｊ－Ｓｈｏｔ,飲食店営業,一般食堂,福,中保衛,32020283,2026/12/31,2020/11/19,2014/10/22
,810-0004,福岡市中央区渡辺通五丁目２４番３７号,天神第５レジデンス江崎２０５号,092-732-8078,ＴＲＡＴＴＯＲＩＡ　Ｈ,飲食店営業,一般食堂,福,中保衛,32020281,2026/12/31,2020/11/19,2002/10/11
,810-0022,福岡市中央区薬院二丁目２番１８号,,092-732-3116,ボンバーキッチン,飲食店営業,一般食堂,福,中保衛,32020284,2026/12/31,2020/11/19,2008/11/10
有限会社　ビーワン,810-0073,福岡市中央区舞鶴一丁目８番２５号,,092-751-3811,ドラム　ロゴス,飲食店営業,一般食堂,福,中保衛,32020286,2026/12/31,2020/11/19,1996/10/3
株式会社ＣＯＲＥ,810-0012,福岡市中央区白金一丁目３番５号,アストア薬院１Ｆ,092-534-2700,自然派ビストロ　ＣＯＲＥ,飲食店営業,一般食堂,福,中保衛,32010608,2026/12/31,2020/11/19,2020/11/19
株式会社江口海産,810-0072,福岡市中央区長浜三丁目１４番１号,１Ｆ,,（株）江口海産,飲食店営業,一般食堂,福,中保衛,32010602,2026/12/31,2020/11/19,2020/11/19
,810-0023,福岡市中央区警固二丁目１５番３号,ＣＡＮＮＥＲＹ警固本通り４０２,,Ｋａｒａｏｋｅ　Ｂａｒ　ＧＲＥＴＣＨ,飲食店営業,バー,福,中保衛,32010573,2026/12/31,2020/11/19,2020/11/19
,810-0041,福岡市中央区大名二丁目１番３０号,ＡＩビルＢ館２Ｆ,092-791-3115,ＣＨＩＣＫＥＮ　ＢＯＮＤＳ．３６０,飲食店営業,一般食堂,福,中保衛,32010555,2026/12/31,2020/11/19,2020/11/19
株式会社しらに田,810-0022,福岡市中央区薬院二丁目１３番２３号,,092-406-8554,萬鳥　薬院店,飲食店営業,一般食堂,福,中保衛,32010578,2026/12/31,2020/11/19,2020/11/19
株式会社ＣＯＲＥ,810-0003,福岡市中央区春吉二丁目１２番１１号,アクラス天神南１０１号,092-715-3595,Ｒｅｓｔａｕｒａｎｔ　ＲｅＣＯ,飲食店営業,一般食堂,福,中保衛,32010607,2026/12/31,2020/11/19,2020/11/19
,811-1302,福岡市南区井尻四丁目８番１５号,,092-574-3366,セブンイレブン福岡井尻４丁目店,飲食店営業,一般食堂,福,南保衛,32010099,2026/12/31,2020/11/19,2020/11/19
有限会社天峯ファーム,814-0103,福岡市城南区鳥飼六丁目７番７号,サンセーヌ城西１０１,092-707-6189,豊鶏スパイスカレー,飲食店営業,一般食堂,福,城保衛,32010036,2026/12/31,2020/11/19,2020/11/19
株式会社ＣＯＲＥ,814-0103,福岡市城南区鳥飼五丁目２番１８号,グリーンマンション鳥飼１１１号,092-822-5520,ラザニアＣＯＲＥ,飲食店営業,一般食堂,福,城保衛,32010040,2026/12/31,2020/11/19,2020/11/19
株式会社ＣＯＲＥ,814-0103,福岡市城南区鳥飼五丁目２番１８号,グリーンマンション鳥飼１１１号,092-822-5520,ラザニアＣＯＲＥ,そうざい製造業,なし,福,城保衛,32570004,2026/12/31,2020/11/19,2020/11/19
,814-0103,福岡市城南区鳥飼五丁目２番５４号,,092-851-0070,和助,飲食店営業,一般食堂,福,城保衛,32020042,2026/12/31,2020/11/19,2008/12/2
,814-0133,福岡市城南区七隈八丁目４番８号,,,Ｂ．Ｂ　ｋｉｔｃｈｅｎ,飲食店営業,一般食堂,福,城保衛,32020043,2026/12/31,2020/11/19,2014/10/27
有限会社スイートリサーチ,814-0022,福岡市早良区原五丁目１０番４号,,092-847-1760,ストロベリーガーデン,菓子製造業,一般,福,早保衛,32060008,2026/12/31,2020/11/19,2002/10/31
,814-0022,福岡市早良区原四丁目７番３６号,,092-844-3308,スナック　ビギン,飲食店営業,一般食堂,福,早保衛,32020128,2026/12/31,2020/11/19,1984/12/18
,814-0171,福岡市早良区野芥七丁目９番１３号,,092-865-2558,からあげ　たから,飲食店営業,そうざい,福,早保衛,32020129,2026/12/31,2020/11/19,2014/10/9
合同会社ＢｅＧｒａｐｈ,814-0002,福岡市早良区西新四丁目４番１５号,横丁ビル　２Ｆ,,ファンファーレ,飲食店営業,バー,福,早保衛,32010123,2026/12/31,2020/11/19,2020/11/19
有限会社　キッチンライフ,819-0379,福岡市西区北原一丁目９番１号,,092-805-6665,ほっともっと伊都店,飲食店営業,弁当屋,福,西保衛,32020084,2026/12/31,2020/11/19,2008/12/4
有限会社　紫垣商店,819-0055,福岡市西区生の松原一丁目１６番２４号,,092-882-0023,（有）紫垣商店,魚介類販売業,一般,福,西保衛,32140015,2026/12/31,2020/11/19,2008/10/14
合同会社　ＺＩＯＮ,810-0801,福岡市博多区中洲三丁目３番１号,ＴＭセレスビル　５階　５０２号室,,ＴＨＲＥＥ,飲食店営業,バー,福,博保衛,32010462,2026/12/31,2020/11/20,2020/11/20
,810-0801,福岡市博多区中洲二丁目６番１２号,中洲セントラルビル第５ラインビル　３階　１３号室,,ＢＡＲ　ＬＡＦＴＥＬ,飲食店営業,バー,福,博保衛,32010453,2026/12/31,2020/11/20,2020/11/20
,810-0801,福岡市博多区中洲二丁目７番１６号,あづまビル　５階　Ａ号,,Ｓｐｉｒｉｔ　ｂａｌｌ,飲食店営業,バー,福,博保衛,32010470,2026/12/31,2020/11/20,2020/11/20
,810-0801,福岡市博多区中洲二丁目６番１２号,中洲セントラル第５ラインビル　７階　７号室,092-271-0011,ブタミントカフェ,飲食店営業,バー,福,博保衛,32010458,2026/12/31,2020/11/20,2020/11/20
株式会社　柳川屋,810-0801,福岡市博多区中洲二丁目６番１２号,第５ラインビル　１階,092-281-1275,柳川屋,飲食店営業,一般食堂,福,博保衛,32020368,2026/12/31,2020/11/20,2002/12/27
有限会社　ターボマニア,810-0801,福岡市博多区中洲四丁目７番２１号,中野ビル　２階,092-291-8185,博多中洲　遊食亭,飲食店営業,一般食堂,福,博保衛,32020370,2026/12/31,2020/11/20,2008/12/16
株式会社　柳川屋,812-0011,福岡市博多区博多駅前三丁目１０番１４号,,092-451-7105,柳川屋,飲食店営業,一般食堂,福,博保衛,32020369,2026/12/31,2020/11/20,2002/12/27
株式会社　Ｔｈｉｒｄ,812-0013,福岡市博多区博多駅東二丁目９番５号,池松ビル　１Ｆ,092-409-7398,九州料理　すがわ,飲食店営業,一般食堂,福,博保衛,32010456,2026/12/31,2020/11/20,2020/11/20
,810-0044,福岡市中央区六本松四丁目７番３号,,092-771-4023,多津田,飲食店営業,一般食堂,福,中保衛,32020288,2026/12/31,2020/11/20,2002/12/19
株式会社エーデルワイス,810-0001,福岡市中央区天神二丁目５番３５号　Ｂ２Ｆ,,092-731-6206,アンテノール福岡岩田屋,菓子製造業,一般,福,中保衛,32060019,2026/12/31,2020/11/20,2014/11/4
株式会社２４ｇｒｏｕｐ,810-0002,福岡市中央区西中洲１番２１号,ＧＩＯビル４階,092-726-0002,博多もつ鍋二十四　西中洲店,飲食店営業,一般食堂,福,中保衛,32020289,2026/12/31,2020/11/20,2014/12/18
株式会社西鉄ステーションサービス,810-0001,福岡市中央区天神二丁目１番３６号,ソラリアターミナル３Ｆ,092-725-5845,ローソン西鉄天神高速バスターミナル,飲食店営業,一般食堂,福,中保衛,32020287,2026/12/31,2020/11/20,2014/12/8
,815-0042,福岡市南区若久三丁目１番１８号,,092-542-2557,新や亭,飲食店営業,一般食堂,福,南保衛,32020110,2026/12/31,2020/11/20,2014/12/26
,813-0011,福岡市東区香椎二丁目１７番１２号,,092-672-7750,デイリーヤマザキ香椎２丁目店,菓子製造業,一般,福,東保衛,32060014,2026/12/31,2020/11/24,2014/12/17
,812-0053,福岡市東区箱崎三丁目９番５３号,,092-631-5390,きのちゃん家,飲食店営業,一般食堂,福,東保衛,32020121,2026/12/31,2020/11/24,2002/12/13
,811-0202,福岡市東区和白三丁目２７番５０号,,092-606-4111,スナック　とまりぎ,飲食店営業,一般食堂,福,東保衛,32020120,2026/12/31,2020/11/24,2014/11/28
株式会社 ＳＨＩＮＥ,813-0032,福岡市東区土井二丁目１５番１６号,,092-673-1390,セブンイレブン福岡多々良小学校前,飲食店営業,一般食堂,福,東保衛,32010131,2026/12/31,2020/11/24,2020/11/24
,813-0041,福岡市東区水谷二丁目１４番１９号,,092-672-3018,デイリーヤマザキ 福岡水谷店,菓子製造業,パン,福,東保衛,32060015,2026/12/31,2020/11/24,2008/10/24
,813-0011,福岡市東区香椎二丁目１７番１２号,,092-672-7750,デイリーヤマザキ香椎２丁目店,飲食店営業,一般食堂,福,東保衛,32020122,2026/12/31,2020/11/24,2014/12/17
株式会社　ASADISA　LANKA,813-0044,福岡市東区千早五丁目１８番２号,,092-410-3737,OSUASIRI,飲食店営業,一般食堂,福,東保衛,32020118,2026/12/31,2020/11/24,2014/11/18
一般社団法人　社会福祉支援協会,812-0002,福岡市博多区空港前四丁目１番２５号,,092-627-2001,元気堂,飲食店営業,一般食堂,福,博保衛,32020377,2026/12/31,2020/11/24,2014/10/17
,810-0801,福岡市博多区中洲三丁目３番１号,ＴＭセレスビル　５階　５０５号,092-262-6400,セナールの森,飲食店営業,バー,福,博保衛,32010474,2026/12/31,2020/11/24,2020/11/24
華和　株式会社,812-0879,福岡市博多区銀天町三丁目３番３号,１Ｆ,092-586-8706,広東料理平安飯店,飲食店営業,中華店,福,博保衛,32010469,2026/12/31,2020/11/24,2020/11/24
,812-0041,福岡市博多区吉塚一丁目１８番５号,,092-621-5077,ミス　サイゴン,飲食店営業,一般食堂,福,博保衛,32010444,2026/12/31,2020/11/24,2020/11/24
,810-0801,福岡市博多区中洲二丁目１番１５号,,092-281-3382,メキシコ料理　ロシータ,飲食店営業,一般食堂,福,博保衛,32020373,2026/12/31,2020/11/24,1976/12/13
,810-0801,福岡市博多区中洲二丁目１番１１号,プレイスポットしんばし　４階,092-262-5567,家路,飲食店営業,一般食堂,福,博保衛,32020374,2026/12/31,2020/11/24,2008/10/3
,812-0026,福岡市博多区上川端町４番２３－６号,武内ビル　２Ｆ,092-262-8476,溶岩モツ鍋　外輪山,飲食店営業,一般食堂,福,博保衛,32020376,2026/12/31,2020/11/24,1991/12/5
,810-0801,福岡市博多区中洲四丁目３番８号,中山第一ビル　４階,092-282-3799,ＢＡＲ　６,飲食店営業,バー,福,博保衛,32020375,2026/12/31,2020/11/24,2008/11/6
,810-0801,福岡市博多区中洲二丁目５番２１号,ステージワンビル　３階,092-281-8369,メンバーズ　童里夢,飲食店営業,一般食堂,福,博保衛,32020372,2026/12/31,2020/11/24,2008/11/27
株式会社　ゆめマート熊本,812-0017,福岡市博多区美野島三丁目２０番５号,,092-471-8573,サニー美野島,飲食店営業,弁当屋,福,博保衛,32020371,2026/12/31,2020/11/24,2008/10/2
株式会社　ゆめマート熊本,812-0017,福岡市博多区美野島三丁目２０番５号,,092-471-8573,サニー美野島,菓子製造業,一般,福,博保衛,32060011,2026/12/31,2020/11/24,2008/10/24
,810-0004,福岡市中央区渡辺通二丁目３番２７号,,092-781-5818,いちい寿し,飲食店営業,すし屋,福,中保衛,32020293,2026/12/31,2020/11/24,1986/10/9
,810-0024,福岡市中央区桜坂二丁目６番１５号,,092-751-3691,彦寿司,飲食店営業,すし屋,福,中保衛,32020290,2026/12/31,2020/11/24,1970/11/16
,810-0012,福岡市中央区白金一丁目９番１８号,,092-526-8330,あかりや,飲食店営業,一般食堂,福,中保衛,32020292,2026/12/31,2020/11/24,2014/11/13
株式会社丸十食品,810-0074,福岡市中央区大手門一丁目３番２３ー１号,,092-781-0071,株式会社丸十食品,食肉販売業,一般,福,中保衛,32330095,2026/12/31,2020/11/24,2020/11/24
,810-0045,福岡市中央区草香江一丁目８番２４号,フローラ大濠１０１号,,Ｊａｓｍｉｎｅ,飲食店営業,主として喫茶,福,中保衛,32010484,2026/12/31,2020/11/24,2020/11/24
,810-0021,福岡市中央区今泉一丁目２３番４号,ｒｅｍｉｘ天神Ｂ０５,,Ｃａｍｅｌｉａ,飲食店営業,バー,福,中保衛,32010595,2026/12/31,2020/11/24,2020/11/24
株式会社PHOENIX・ジャパン,810-0073,福岡市中央区舞鶴一丁目８番２号,,092-981-1580,辛麺　ここから,飲食店営業,一般食堂,福,中保衛,32010613,2026/12/31,2020/11/24,2020/11/24
株式会社ゆめマート熊本,810-0036,福岡市中央区梅光園団地８番１号,,092-733-6255,サニー梅光園,魚介類販売業,一般,福,中保衛,32140020,2026/12/31,2020/11/24,1996/10/15
株式会社ゆめマート熊本,810-0033,福岡市中央区小笹三丁目１０番３３号,,092-534-7632,サニー小笹,魚介類販売業,一般,福,中保衛,32140019,2026/12/31,2020/11/24,2002/10/25
株式会社ゆめマート熊本,810-0033,福岡市中央区小笹三丁目１０番３３号,,092-534-7632,サニー小笹,飲食店営業,そうざい,福,中保衛,32020291,2026/12/31,2020/11/24,2002/10/25
ＪＲ九州ファーストフーズ株式会社,810-0001,福岡市中央区天神二丁目１番１号,地下１号０１９,092-753-8657,シナボン・シアトルズベストコーヒー天神地下街店,菓子製造業,一般,福,中保衛,32050080,2026/12/31,2020/11/24,2020/11/24
ＪＲ九州ファーストフーズ株式会社,810-0001,福岡市中央区天神二丁目１番１号,地下１号０１９,092-753-8657,シナボン・シアトルズベストコーヒー天神地下街店,飲食店営業,一般食堂,福,中保衛,32010576,2026/12/31,2020/11/24,2020/11/24
東洋カンパニー株式会社,815-0004,福岡市南区高木一丁目１６番３７号,,092-292-3337,宝満ヴィラ大橋南,飲食店営業,一般食堂,福,南保衛,32010115,2026/12/31,2020/11/24,2020/11/24
株式会社ゆめマート熊本,814-0152,福岡市城南区堤団地２８番１号,,092-871-1400,サニー堤,魚介類販売業,一般,福,城保衛,32140010,2026/12/31,2020/11/24,2002/12/10
,814-0175,福岡市早良区田村四丁目１２番１０号,,092-864-9455,モンサンミッシェル,菓子製造業,一般,福,早保衛,32060009,2026/12/31,2020/11/24,1996/10/18
,814-0021,福岡市早良区荒江二丁目６番１号,,092-841-0129,プリンセス・コーヒー,飲食店営業,一般食堂,福,早保衛,32020130,2026/12/31,2020/11/24,1996/10/3
福岡市漁業協同組合,819-0202,福岡市西区西浦１１５８番地,,092-809-2231,漁村センター,飲食店営業,仕出し,福,西保衛,32020085,2026/12/31,2020/11/24,2014/10/2
,819-0002,福岡市西区姪の浜四丁目２３番１０号,ＢＥ－ＳＱＵＡＥＲ５０１号,092-891-8050,居酒屋たかぞう,飲食店営業,一般食堂,福,西保衛,32020086,2026/12/31,2020/11/24,2014/12/5
有限会社　一柳,819-0366,福岡市西区横浜三丁目３６番８号,,092-805-8505,パティスリー　イチリュウ,菓子製造業,一般,福,西保衛,32060011,2026/12/31,2020/11/24,2014/10/6
有限会社デボン神戸屋,812-0063,福岡市東区原田一丁目１８番２４号,,,有限会社デボン神戸屋第二工場,食品の冷凍又は冷蔵業,なし,福,東保衛,32200008,2026/12/31,2020/11/25,2008/11/27
有限会社 デボン神戸屋,812-0063,福岡市東区原田一丁目１８番２４号,,092-611-8667,有限会社 デボン神戸屋 第二工場,食肉処理業,食肉処理,福,東保衛,32320003,2026/12/31,2020/11/25,2008/10/23
株式会社 釜揚げ牧のうどん,811-0204,福岡市東区奈多一丁目１０番７号,,092-608-4143,㈱釜揚げ牧のうどん 奈多店,飲食店営業,うどん屋,福,東保衛,32020124,2026/12/31,2020/11/25,1986/10/30
,811-0206,福岡市東区雁の巣二丁目２２番３０号,,092-608-7360,奈多利庵,飲食店営業,一般食堂,福,東保衛,32020125,2026/12/31,2020/11/25,2014/10/3
,813-0032,福岡市東区土井一丁目１８番１８号,,092-691-1188,セブンイレブン 福岡土井１丁目店,飲食店営業,一般食堂,福,東保衛,32020123,2026/12/31,2020/11/25,2014/10/27
株式会社 Ｆｏｏｄ　Ｄｉｓｃｏｖｅｒｙ,813-0035,福岡市東区松崎一丁目５９番１９号,,092-682-2858,海鮮丼　日の出仕込場,飲食店営業,仕出し,福,東保衛,32010130,2026/12/31,2020/11/25,2020/11/25
スマイルスイッチ　株式会社,812-0016,福岡市博多区博多駅南一丁目２番３号,博多駅前第１ビル　１Ｆ,092-452-0202,炭　かこヰ,飲食店営業,一般食堂,福,博保衛,32010461,2026/12/31,2020/11/25,2020/11/25
株式会社　御膳屋,812-0027,福岡市博多区下川端町２番１号,博多座西銀再開発ビル　Ｂ２Ｆ,092-281-1388,御膳屋菴離,食品の冷凍又は冷蔵業,なし,福,博保衛,32190011,2026/12/31,2020/11/25,2020/11/25
